abbreviation,full_name,smiles_pubchem,smiles_opsin,smiles_cactus,smiles_final,doi
ODA,"4,4'-oxydianiline",C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,O(C1=CC=C(N)C=C1)C1=CC=C(N)C=C1,nan,nan,photopolymer.16.233
BAPP,"2,2-bis[4-(4-aminophenoxy)phenyl]propane",nan,NC1=CC=C(OC2=CC=C(C=C2)C(C)(C)C2=CC=C(C=C2)OC2=CC=C(C=C2)N)C=C1,nan,nan,photopolymer.16.233
TPE-R,"1,3-bis(4-aminophenoxy)benzene;1,3-bis-(4-aminophenoxy)-benzene",nan,NC1=CC=C(OC2=CC(=CC=C2)OC2=CC=C(C=C2)N)C=C1,nan,nan,photopolymer.16.233
APB,"1,3-bis(3-aminophenoxy)benzene",C1=CC(=CC(=C1)OC2=CC(=CC=C2)OC3=CC=CC(=C3)N)N,NC=1C=C(OC2=CC(=CC=C2)OC2=CC(=CC=C2)N)C=CC1,nan,nan,photopolymer.16.233
6FDA,"4,4'-(hexafluoropropylidene)-diphthalic anhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,photopolymer.20.153
BAPMA,"N,N-Bis(3-aminopropyl)-methylamine",nan,NCCCN(CCCN)C,nan,nan,photopolymer.20.153
ODA,"4,4'-diaminodiphenyl ether",nan,nan,Nc1ccc(Oc2ccc(N)cc2)cc1,nan,photopolymer.20.153
6FDA,"2,2'-Bis(3,4-dicarboxyphenyl)hexafluoro propane dianhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,nan,photopolymer.20.163
s-BPDA,s-biphenyltetracarboxylic acid dianhydride,C1=CC2=C3C=C1C4=CC(=C(C=C4)C(=O)OC2=O)C(=O)OC3=O,nan,nan,nan,photopolymer.20.167
a-BPDA,a-biphenyltetracarboxylic acid dianhydride,C1=CC(=C2C(=C1)C(=O)OC2=O)C3=CC4=C(C=C3)C(=O)OC4=O,nan,nan,nan,photopolymer.20.167
PDA,p-diaminobenzene,C1=CC(=CC=C1N)N,NC1=CC=C(C=C1)N,nan,nan,photopolymer.20.167
PMDA,Pyromellitic dianhydride,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,nan,nan,nan,photopolymer.20.739
DCHM;mix-DCHM,"4,4'-Diaminodicyclohexylmethane;diaminodicyclohexylamine",nan,nan,NC1CCC(CC1)CC2CCC(N)CC2,nan,photopolymer.20.739
TDA,"4,4'-thioaniline",C1=CC(=CC=C1N)SC2=CC=C(C=C2)N,nan,nan,nan,photopolymer.20.739
DDS,"4,4'-diaminodiphenylsulfone",C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,nan,nan,nan,photopolymer.20.739
PMDA,pyromellitic dianhydride,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,nan,nan,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,photopolymer.20.743
DCHM,Diaminodicyclohexylamine;diaminodicyclohexyl amine,nan,nan,NN(C1CCCCC1)C2(N)CCCCC2,nan,photopolymer.20.743
BASDT,"2,5-bis(4-aminophenylsulfanyl)-1,4-dithiane",nan,NC1=CC=C(C=C1)SC1SCC(SC1)SC1=CC=C(C=C1)N,nan,Nc1ccc(SC2CSC(Sc3ccc(N)cc3)CS2)cc1,photopolymer.21.131
CBDA,"1,2,3,4-cyclobutanetetracarboxylic dianhydride",CCCCCC1=CC(=C(C(=C1C(=O)O)O)C2C=C(CCC2C(=C)C)C)O,nan,nan,nan,photopolymer.21.131
PMDA,pyromellitic acid dianhydride,nan,nan,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,nan,photopolymer.21.95
ODA,"4,4'-oxydianiline",C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,O(C1=CC=C(N)C=C1)C1=CC=C(N)C=C1,nan,nan,photopolymer.21.95
BPDA,biphenyl-tetracarboxylic acid dianhydride,C1=CC2=C(C=C1C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,nan,photopolymer.21.95
PDA,p-phenylene diamine,nan,nan,CC(NCc1c(O)c(C)ncc1CO[P](O)(O)=O)C(O)=O,nan,photopolymer.21.95
TPE-R,"1,3-bis(4-aminophenoxy)benzene",C1=CC(=CC(=C1)OC2=CC=C(C=C2)N)OC3=CC=C(C=C3)N,NC1=CC=C(OC2=CC(=CC=C2)OC2=CC=C(C=C2)N)C=C1,nan,nan,photopolymer.23.467
APB,"1,3-bis(3-aminophenoxy)benzene",C1=CC(=CC(=C1)OC2=CC(=CC=C2)OC3=CC=CC(=C3)N)N,NC=1C=C(OC2=CC(=CC=C2)OC2=CC(=CC=C2)N)C=CC1,nan,nan,photopolymer.23.467
"4,4'-ODA","4,4'-Oxydianiline",C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,O(C1=CC=C(N)C=C1)C1=CC=C(N)C=C1,nan,nan,photopolymer.24.247
BAPP,"2,2-Bis-{4-(4-aminophenoxy) phenyl} propane",nan,NC1=CC=C(OC2=CC=C(C=C2)C(C)(C)C2=CC=C(C=C2)OC2=CC=C(C=C2)N)C=C1,nan,nan,photopolymer.24.247
PDAS,"1,3-Phenylenediamine-4-sulfonic acid",C1=CC(=C(C=C1N)N)S(=O)(=O)O,nan,nan,Nc1ccc(S(=O)(=O)O)c(N)c1,photopolymer.24.269
PDA,"1,4-Phenylenediamine-3-sulfonic acid",C1=CC(=C(C=C1N)S(=O)(=O)O)N,nan,nan,Nc1ccc(N)c(S(=O)(=O)O)c1,photopolymer.24.269
BDSA,"2,2'-benzidine disulfonic acid",nan,C=1(C(=CC(N)=CC1)S(=O)(=O)O)C=1C(=CC(N)=CC1)S(=O)(=O)O,nan,Nc1ccc(-c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,photopolymer.24.269
DAD,"2,3,5,6-tetramethyl-1,4-phenylenediamine",CC1=C(C(=C(C(=C1N)C)C)N)C,CC1=C(C(=C(C(=C1C)N)C)C)N,nan,Cc1c(C)c(N)c(C)c(C)c1N,photopolymer.24.269
BTDA,"3,3',4,4'-benzophenonetetracarboxylic dianhydride",C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,photopolymer.24.269
BPDA,"4,4'-biphthalic anhydride",C1=CC2=C(C=C1C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,photopolymer.24.269
DSDA,"3,3',4,4'-diphenylsulfonetetracarboxylic dianhydride",C1=CC2=C(C=C1S(=O)(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(S(=O)(=O)c3ccc4c(c3)C(=O)OC4=O)ccc21,photopolymer.24.269
6FDA,"4,4'-(hexafluoroisopropylidene)diphthalic anhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,photopolymer.24.269
PMDA,pyromellitic dianhydride,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,nan,nan,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,photopolymer.24.283
DADE,"4,4'-diaminodiphenyl ether",nan,nan,Nc1ccc(Oc2ccc(N)cc2)cc1,Nc1ccc(Oc2ccc(N)cc2)cc1,photopolymer.24.283
BPDA,"biphenyltetracarboxylic dianhydride;3,3',4,4'-Biphenyltetracarboxylic dianhydride",C1=CC2=C(C=C1C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,photopolymer.24.283
DAT,"2,4-diaminotoluene",CC1=C(C=C(C=C1)N)N,NC1=C(C)C=CC(=C1)N,nan,Cc1ccc(N)cc1N,photopolymer.24.283
BPDA,"3,3',4,4'-biphenyl tetracarboxylic acid dianhydride",C1=CC2=C(C=C1C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,photopolymer.26.291
BAPB,"4,4'-bis(4-amino phenoxy) biphenyl",nan,NC1=CC=C(OC2=CC=C(C=C2)C2=CC=C(C=C2)OC2=CC=C(C=C2)N)C=C1,nan,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,photopolymer.26.291
DABS,bis(3-amino-4-hydroxyphenyl) sulfone,C1=CC(=C(C=C1S(=O)(=O)C2=CC(=C(C=C2)O)N)N)O,NC=1C=C(C=CC1O)S(=O)(=O)C1=CC(=C(C=C1)O)N,nan,Nc1cc(S(=O)(=O)c2ccc(O)c(N)c2)ccc1O,photopolymer.26.291
PMDA;PMA,pyromellitic acid dianhydride,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,nan,nan,nan,photopolymer.26.291
DADE,"4,4'-diaminodiphenyl ether",nan,nan,Nc1ccc(Oc2ccc(N)cc2)cc1,Nc1ccc(Oc2ccc(N)cc2)cc1,photopolymer.26.291
FDA,"4,4'-(9-fluorenylidene) dianiline",nan,C1=CC=CC=2C3=CC=CC=C3C(C12)(C1=CC=C(N)C=C1)C1=CC=C(N)C=C1,nan,nan,photopolymer.26.291
DAT,"2,4-Diaminotoluene",CC1=C(C=C(C=C1)N)N,NC1=C(C)C=CC(=C1)N,nan,nan,photopolymer.26.357
DSDA,"3,3',4,4'-diphenylsulfonetetracarboxylic dianhydride",C1=CC2=C(C=C1S(=O)(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nan,nan,nan,photopolymer.26.357
BOEDA,"bicyclo[2.2.2]oct-7-ene-2,3,5,6-tetracarboxylic dianhydride",C1=CC2C3C(C1C4C2C(=O)OC4=O)C(=O)OC3=O,nan,nan,nan,photopolymer.26.357
CHDA,"1,2,4,5-cyclohexanetetracarboxylic dianhydride",C1C2C(CC3C1C(=O)OC3=O)C(=O)OC2=O,nan,nan,nan,photopolymer.26.357
CBDA,"1,2,3,4-cyclobutanetetracarboxylic dianhydride",CCCCCC1=CC(=C(C(=C1C(=O)O)O)C2C=C(CCC2C(=C)C)C)O,nan,nan,nan,photopolymer.26.357
PMDA,pyromellitic dianhydride,nan,nan,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,photopolymer.27.139
TAPB,"1,3,5-tris(4-aminophenyl)benzene",C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)N)C4=CC=C(C=C4)N)N,NC1=CC=C(C=C1)C1=CC(=CC(=C1)C1=CC=C(C=C1)N)C1=CC=C(C=C1)N,nan,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1,photopolymer.27.139
